names	nick	depth	depth_layer	isolation_source	Habitat_1	Habitat_0	rf	Lifestyle	grouping	diet	diet_algae	diet_carrion	diet_sediment	site	host_species	host_order	host_Superfamily	host_family	host_genus
Eusp4	Eusp4	1226	1000-4000	Amphipod	Aquatic	Bathypelagic	B	Nekton	Scavenger	Scavenger	0	1	1	SCS	Eurythenes sp.	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Emag1	Emag1	1000	1000-4000	Amphipod	Aquatic	Bathypelagic	B	Nekton	Scavenger	Scavenger	0	1	1	SCS	E.magellenicus	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Emag3	Emag2	1000	1000-4000	Amphipod	Aquatic	Bathypelagic	B	Nekton	Scavenger	Scavenger	0	1	1	SCS	E.magellenicus	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Emag4	Emag3	1000	1000-4000	Amphipod	Aquatic	Bathypelagic	B	Nekton	Scavenger	Scavenger	0	1	1	SCS	E.magellenicus	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Emag5	Emag4	1000	1000-4000	Amphipod	Aquatic	Bathypelagic	B	Nekton	Scavenger	Scavenger	0	1	1	SCS	E.magellenicus	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Emag6	Emag5	1000	1000-4000	Amphipod	Aquatic	Bathypelagic	B	Nekton	Scavenger	Scavenger	0	1	1	SCS	E.magellenicus	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Hya1	Hya1	3	0-1000	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	HY	Hyalidae sp.	Amphipoda	Talitroidea	Hyalidae	NA
Hya2	Hya2	3	0-1000	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	HY	Hyalidae sp.	Amphipoda	Talitroidea	Hyalidae	NA
Hya3	Hya3	3	0-1000	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	HY	Hyalidae sp.	Amphipoda	Talitroidea	Hyalidae	NA
Hya4	Hya4	3	0-1000	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	HY	Hyalidae sp.	Amphipoda	Talitroidea	Hyalidae	NA
Hya5	Hya5	3	0-1000	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	HY	Hyalidae sp.	Amphipoda	Talitroidea	Hyalidae	NA
Hya6	Hya6	3	0-1000	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	HY	Hyalidae sp.	Amphipoda	Talitroidea	Hyalidae	NA
Hya7	Hya7	3	0-1000	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	HY	Hyalidae sp.	Amphipoda	Talitroidea	Hyalidae	NA
Hya8	Hya8	4	0-1001	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	HY	Hyalidae sp.	Amphipoda	Talitroidea	Hyalidae	NA
Hya9	Hya9	5	0-1002	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	HY	Hyalidae sp.	Amphipoda	Talitroidea	Hyalidae	NA
Ischy1	Ischy1	2	0-1000	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	QD	Ischyroceridae sp.	Amphipoda	Photoidea	Ischyroceridae	NA
Ischy2	Ischy2	2	0-1000	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	QD	Ischyroceridae sp.	Amphipoda	Photoidea	Ischyroceridae	NA
Ischy3	Ischy3	2	0-1000	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	QD	Ischyroceridae sp.	Amphipoda	Photoidea	Ischyroceridae	NA
SYA	Ampit1	2	0-1000	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	SY	Ampithoe sp.	Amphipoda	Corophioidea	Ampithoidae	Ampithoe
SYB	Ampit2	2	0-1000	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	SY	Ampithoe sp.	Amphipoda	Corophioidea	Ampithoidae	Ampithoe
SYC	Ampit3	2	0-1000	Amphipod	Aquatic	Intertidal	I	Plankton	Herbivore	Herbivore	1	0	0	SY	Ampithoe sp.	Amphipoda	Corophioidea	Ampithoidae	Ampithoe
KA10	Spel1	0	sand	Amphipod	Terrestrial	Supralittoral	SP	Benthic	Detritivore	Detritivore	0	0	1	ITALY	Sardorchestia pelecaniformis	Amphipoda	Talitroidea	Talitridae	Sardorchestia
KA11	Spel2	0	sand	Amphipod	Terrestrial	Supralittoral	SP	Benthic	Detritivore	Detritivore	0	0	1	ITALY	Sardorchestia pelecaniformis	Amphipoda	Talitroidea	Talitridae	Sardorchestia
KA12	Tugo1	0	sand	Amphipod	Terrestrial	Supralittoral	SP	Benthic	Detritivore	Detritivore	0	0	1	ITALY	Talorchestia ugolinii	Amphipoda	Talitroidea	Talitridae	Britorchestia
KA13	Tugo2	0	sand	Amphipod	Terrestrial	Supralittoral	SP	Benthic	Detritivore	Detritivore	0	0	1	ITALY	Talorchestia ugolinii	Amphipoda	Talitroidea	Talitridae	Britorchestia
KA14	Ostep1	0	sand	Amphipod	Terrestrial	Supralittoral	SP	Benthic	Detritivore	Detritivore	0	0	1	ITALY	Orchestia stephenseni	Amphipoda	Talitroidea	Talitridae	Orchestia
KA2	Tsal1	0	sand	Amphipod	Terrestrial	Supralittoral	SP	Benthic	Detritivore	Detritivore	0	0	1	ITALY	Talitrus saltator	Amphipoda	Talitroidea	Talitridae	Talitrus
KA3	Omon1	0	sand	Amphipod	Terrestrial	Supralittoral	SP	Benthic	Detritivore	Detritivore	0	0	1	ITALY	Orchestia montagui	Amphipoda	Talitroidea	Talitridae	Orchestia
