index	AD7	AG1	AG2	AG3	AG4	AG6	AG5	AD9	AG7	Emag1	Emag3	Prin1	Prin2	Prin3	Prin4	Eusp1	Eusp2	Eusp3	Eusp4	Emag4	Emag5	Emag6	Hya1	Hya2	Hya3	Hya4	Hya7	Hya5	Ischy1	Ischy2	Ischy3	Halice1	Halice2	Halice3	Halice4	Halice5	Hgigas1	Hgigas3	Hgigas4	Hgigas5	Hgigas6	Hgigas7	Hgigas8	Hgigas9	Hya6	SYA	SYB	SYC	AD10	KA10	KA11	KA12	KA13	KA14	KA2	KA3	KA4	KA5	KA6	KA8	KA9	Hya8	Hya9	XM1	XM10	XM12.1	XM12.2	XM2	XM4	XM5	XM6	XM7	XM9
Umboniibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ulvibacter	0	0	0	0	0	0	0	0.00280112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002910905	0.028062298	0	0	0.020419659	0.00323485	0.000881251	0.000863475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004796163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001204239	0.003255519	0	0	0	0	0	0	0	0	0	0
UCG-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001675042	0
UCG-010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UCG-005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UCG-004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UCG-002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA10353_marine_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001815736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001901836	0.003804391	0	0	0	0	0.00120549	0	0.001903457	0
Tyzzerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004719455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
type_III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000611781	0	0	0	0	0	0	0	0.000874682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
