	AD7	AG1	AG2	AG3	AG4	AG6	AG5	AD9	AG7	Emag1	Emag3	Prin1	Prin2	Prin3	Prin4	Eusp1	Eusp2	Eusp3	Eusp4	Emag4	Emag5	Emag6	Hya1	Hya2	Hya3	Hya4	Hya7	Hya5	Ischy1	Ischy2	Ischy3	Halice1	Halice2	Halice3	Halice4	Halice5	Hgigas1	Hgigas3	Hgigas4	Hgigas5	Hgigas6	Hgigas7	Hgigas8	Hgigas9	Hya6	SYA	SYB	SYC	AD10	KA10	KA11	KA12	KA13	KA14	KA2	KA3	KA4	KA5	KA6	KA8	KA9	Hya8	Hya9	XM1	XM10	XM12.1	XM12.2	XM2	XM4	XM5	XM6	XM7	XM9
Emag3	0.787612026	0.679742885	0.823567559	0.705392956	0.690795983	0.64311123	0.768577798	0.685787696	0.588467091	0.53656312	0	0.779199525	0.699923759	0.675434045	0.665197876	0.636198815	0.685675762	0.606121374	0.644996961	0.674189563	0.733027947	0.664072893	0.867209915	0.852457832	0.838561668	0.86880399	0.833637778	0.868699723	0.839271984	0.856410504	0.84088391	0.782394614	0.779436793	0.783308246	0.788804957	0.780980023	0.800830604	0.784536189	0.78658451	0.767252715	0.840229942	0.786471459	0.886910465	0.806987626	0.83132513	0.816533509	0.803554428	0.827570581	0.738508238	0.865963463	0.79956555	0.818204856	0.781231421	0.758692255	0.711465642	0.829159521	0.74479829	0.830481056	0.834095574	0.8445841	0.771378584	0.789993351	0.806021366	0.73433826	0.823994327	0.752661195	0.748551919	0.79807468	0.742059212	0.808051078	0.763303013	0.811305507	0.64683811
Prin1	0.806880081	0.664922624	0.833191776	0.679410563	0.695362561	0.812308579	0.86549704	0.795800045	0.798281282	0.824132749	0.779199525	0	0.367143762	0.462298933	0.530881372	0.851869074	0.84082337	0.81856975	0.830791796	0.794645667	0.867812118	0.857058101	0.908093247	0.889410786	0.855608445	0.885470747	0.854675783	0.911280383	0.880182576	0.921366164	0.896285845	0.687157777	0.667020556	0.731992441	0.651652301	0.673468425	0.746296837	0.724513357	0.766463825	0.725022942	0.750537244	0.753795481	0.874131107	0.754149942	0.862095027	0.855408789	0.879468612	0.852940417	0.800960487	0.905332764	0.870427803	0.896971199	0.876620803	0.856677529	0.824763021	0.879957821	0.856501564	0.888568531	0.905733891	0.911313895	0.865115498	0.776984222	0.829417765	0.826833448	0.874925076	0.763337721	0.717965197	0.875715634	0.857911302	0.889942858	0.857667445	0.870423677	0.765607442
Prin2	0.789330762	0.616123873	0.843393761	0.638029609	0.636583759	0.739453033	0.776733612	0.755159916	0.694054866	0.76086381	0.699923759	0.367143762	0	0.467275944	0.493301237	0.816733333	0.813944922	0.77103706	0.778263473	0.764015029	0.806402957	0.757222479	0.885307108	0.86232506	0.823246877	0.870435865	0.840880842	0.887086144	0.845581631	0.885745443	0.864490964	0.636330841	0.528221907	0.640692828	0.608996671	0.613541011	0.653065585	0.614330475	0.687643789	0.627264134	0.727685875	0.653669739	0.862574858	0.736409121	0.847293229	0.810296624	0.83431098	0.819491506	0.773593508	0.889651622	0.835501678	0.869856699	0.840914142	0.806857012	0.772893614	0.849909463	0.814089438	0.861608153	0.88045629	0.878019097	0.827999867	0.740916324	0.809017558	0.77873966	0.859251046	0.726603191	0.647760016	0.845114192	0.820176305	0.868091931	0.831096588	0.848457341	0.681225265
Prin3	0.797978777	0.618184201	0.85368805	0.661918083	0.669296007	0.7301519	0.826186484	0.721688731	0.646697282	0.740544646	0.675434045	0.462298933	0.467275944	0	0.516446852	0.79953787	0.788407666	0.745245465	0.773384047	0.795845586	0.850635267	0.812558917	0.894042014	0.86943324	0.833007094	0.869991617	0.839403841	0.894280673	0.858479318	0.892177308	0.874549149	0.674452878	0.670749488	0.72982989	0.66894146	0.697620903	0.756187927	0.737592828	0.778388583	0.72282584	0.801286155	0.756688554	0.907238174	0.818552509	0.834956959	0.813224181	0.81746632	0.814785663	0.788630013	0.890083964	0.838678173	0.870213091	0.846951962	0.810578972	0.796278046	0.860025819	0.824959855	0.871367389	0.880460802	0.874808783	0.830889569	0.768882297	0.808282961	0.764136919	0.840775226	0.724946853	0.68748061	0.81564518	0.7847208	0.837346599	0.784925758	0.835097452	0.696845259
Prin4	0.760040184	0.679412534	0.897863267	0.670165406	0.693231261	0.757753616	0.84866378	0.688328062	0.737723245	0.731049838	0.665197876	0.530881372	0.493301237	0.516446852	0	0.755663541	0.751931766	0.723771199	0.752456913	0.786089618	0.8700548	0.844799694	0.882653467	0.86769028	0.839807051	0.87107935	0.838652239	0.887755376	0.853763532	0.895596348	0.864712422	0.761298731	0.69618574	0.779675478	0.730231467	0.742490033	0.795114693	0.781898591	0.818498263	0.771510368	0.853888619	0.798045761	0.935188095	0.840112713	0.823354565	0.855854345	0.850562885	0.849462237	0.731854361	0.848645125	0.796624955	0.832267739	0.800760702	0.768160448	0.753349491	0.816231002	0.792408479	0.825692826	0.841595845	0.842903978	0.806412857	0.713750941	0.752014012	0.726779325	0.798649736	0.656203973	0.631809501	0.772287564	0.740949853	0.79638475	0.743886236	0.791724367	0.708670866
Eusp1	0.754059937	0.757521792	0.908692985	0.767337716	0.778991445	0.718221761	0.846568614	0.732111993	0.788680992	0.671191548	0.636198815	0.851869074	0.816733333	0.79953787	0.755663541	0	0.51519088	0.470081608	0.506106542	0.737919328	0.790494314	0.79144427	0.810976807	0.80489343	0.775293798	0.803484959	0.784508755	0.816283111	0.798933433	0.832161645	0.811151597	0.860852538	0.839919324	0.855150367	0.849875189	0.854550997	0.852488816	0.859074732	0.845365676	0.858145015	0.904043894	0.860855108	0.941177762	0.865511886	0.777260907	0.854138868	0.818732507	0.846183618	0.693342184	0.807028185	0.785974824	0.779724926	0.762905265	0.730553025	0.702797729	0.79273459	0.716317273	0.783826526	0.76662278	0.829339734	0.761233774	0.700850853	0.722557257	0.728885922	0.795393891	0.724794354	0.758896685	0.787904213	0.779885841	0.773343021	0.760646259	0.813561012	0.663152115
Eusp2	0.754609759	0.749054125	0.910510062	0.774291991	0.77093992	0.69648996	0.812477125	0.723096697	0.780849789	0.673628678	0.685675762	0.84082337	0.813944922	0.788407666	0.751931766	0.51519088	0	0.422765151	0.540309916	0.740431273	0.802424199	0.803218845	0.830995465	0.799079718	0.76602332	0.822157535	0.773899508	0.829405799	0.782028548	0.831891147	0.799399693	0.841795064	0.834797784	0.849407766	0.842540606	0.850538619	0.850286284	0.858595219	0.855297407	0.858996576	0.902329124	0.874383998	0.938800356	0.885063696	0.766706889	0.86507734	0.839414818	0.84809903	0.714705963	0.83147263	0.795562584	0.805574557	0.791314159	0.778902293	0.761905456	0.821656616	0.764102432	0.824053606	0.806137905	0.835001306	0.776606074	0.75143855	0.765228211	0.720557749	0.797517455	0.766067438	0.798536367	0.781254237	0.770284556	0.768358087	0.782596705	0.795738605	0.749349817
Eusp3	0.747709764	0.715358244	0.876497948	0.754743251	0.754166132	0.63359335	0.777482204	0.706192096	0.727213386	0.620517483	0.606121374	0.81856975	0.77103706	0.745245465	0.723771199	0.470081608	0.422765151	0	0.491776786	0.7119985	0.746388732	0.749088374	0.82469548	0.795248283	0.757628758	0.80822942	0.773033121	0.830648607	0.788000532	0.816654344	0.786349907	0.84131614	0.809789184	0.83598349	0.83226333	0.835400257	0.823980073	0.83529744	0.814338324	0.833669748	0.887120301	0.820646299	0.923490952	0.853248579	0.754913795	0.831597446	0.803243805	0.806510579	0.71844955	0.844569489	0.798787196	0.809037459	0.785657556	0.770819818	0.758630044	0.822795813	0.759952756	0.830623858	0.810365879	0.838569626	0.773651401	0.746300144	0.759732053	0.706292349	0.801132014	0.77024294	0.773045085	0.772771358	0.767089216	0.78195086	0.764849468	0.827103938	0.704796922
Eusp4	0.758273873	0.708827188	0.854875911	0.758295929	0.761952175	0.59692139	0.764049603	0.689729306	0.683849099	0.606202471	0.644996961	0.830791796	0.778263473	0.773384047	0.752456913	0.506106542	0.540309916	0.491776786	0	0.715804812	0.70326671	0.739072401	0.813819761	0.80238398	0.787571014	0.798016504	0.772424684	0.812807048	0.786095637	0.795836684	0.78508658	0.82187486	0.821214859	0.836391259	0.830568674	0.833856055	0.818214149	0.828188719	0.794972681	0.826555066	0.894708454	0.825021064	0.910285318	0.844622096	0.751775851	0.810884726	0.786274371	0.806335366	0.707787597	0.855896119	0.821476289	0.830942356	0.812432583	0.786880861	0.771631267	0.831687644	0.761577757	0.837081802	0.834684668	0.833325156	0.797767212	0.733864972	0.744265553	0.697495825	0.808547572	0.773029953	0.753252821	0.771561467	0.775149881	0.767535163	0.782580093	0.797680461	0.715191291
Emag4	0.800633558	0.652361804	0.838611568	0.732530971	0.681810497	0.704542291	0.724104371	0.734140115	0.730585186	0.653816079	0.674189563	0.794645667	0.764015029	0.795845586	0.786089618	0.737919328	0.740431273	0.7119985	0.715804812	0	0.567435331	0.584662127	0.862237117	0.819897697	0.810599707	0.838574371	0.825897491	0.854120089	0.823291881	0.828174669	0.791179084	0.761052102	0.750574948	0.685818234	0.756275065	0.693323272	0.692667831	0.690594557	0.720639612	0.691604498	0.788693566	0.742085652	0.838534037	0.762711456	0.842600381	0.782009309	0.814088641	0.778691857	0.7431268	0.916085753	0.87664748	0.890565037	0.872064549	0.854038891	0.800806536	0.897612419	0.815694663	0.90074421	0.893260788	0.881220934	0.866153542	0.821689454	0.836829019	0.817371613	0.844569446	0.859583794	0.825114168	0.864219115	0.839813539	0.853306681	0.844692715	0.863230503	0.800657575
