Phylum	Hya1	Hya2	Hya3	Hya4	Hya7	Hya5	Ischy1	Ischy2	Ischy3	Hya6	SYA	SYB	SYC	KA10	KA11	KA12	KA13	KA14	KA2	KA3	KA4	KA5	KA6	KA8	KA9	Hya8	Hya9	XM1	XM10	XM12.1	XM12.2	XM2	XM4	XM5	XM6	XM7	XM9	SRR5757138	SRR5757140	SRR5757145	SRR5757146	SRR5757148	SRR5757149	SRR5757154	SRR5757155	SRR5757156	SRR5757158	SRR5757159	SRR5757161
Epsilonproteobacteria	2.7688 	0.5750 	2.3884 	0.5503 	0.2252 	0.0875 	0.2750 	0.1250 	0.2376 	5.0750 	0.1625 	0.1938 	0.5377 	0.6972 	0.1254 	0.2574 	0.1441 	0.0000 	0.0313 	0.1068 	0.0375 	0.1885 	0.1817 	0.0000 	0.2700 	0.0125 	2.6938 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.2125 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.1075 	0.0000 	0.0000 	0.0000 	0.0063 	0.0000 	0.0000 
Euryarchaeota	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.2073 	0.0000 	0.0000 	0.0000 	0.0313 	0.0000 	0.0000 	0.0125 	0.0189 	0.1128 	0.0000 	0.0000 	0.2376 	0.1250 	0.0000 	0.0000 	0.5003 	0.0000 	0.0000 	0.0000 	0.0000 	0.2063 	0.0000 	0.0063 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
Firmicutes	0.7500 	0.1938 	1.5756 	31.8261 	0.4505 	1.5813 	0.4188 	0.0000 	0.0125 	2.1250 	1.0875 	3.9332 	5.8334 	14.9739 	13.2581 	14.7611 	8.9394 	1.8635 	0.3189 	23.7315 	0.1563 	44.2126 	7.3357 	0.0563 	24.8179 	8.2656 	8.0250 	5.0188 	14.9797 	12.1248 	11.1786 	4.4750 	9.9188 	4.4256 	8.1563 	25.1219 	6.4938 	21.5508 	58.5806 	10.7596 	56.4096 	71.7400 	6.0907 	36.8272 	72.3055 	85.1896 	40.4554 	64.5841 	68.2272 
Fusobacteria	0.0188 	0.0000 	0.0000 	0.0876 	0.0000 	0.0125 	0.0063 	0.0000 	0.0000 	0.2250 	0.0813 	0.3064 	0.1000 	0.6218 	2.6278 	2.0154 	0.5074 	0.0938 	0.0313 	0.9043 	0.0250 	2.5763 	0.3132 	0.0000 	0.9231 	0.2689 	0.1750 	0.0000 	0.0000 	0.0000 	0.0125 	0.0000 	0.0000 	0.0000 	0.0000 	0.1563 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
Gemmatimonadetes	27.1750 	25.5938 	10.9604 	36.3477 	28.0531 	26.5313 	33.2375 	46.1250 	29.1476 	53.7125 	97.3625 	79.0458 	92.0283 	13.4539 	57.8614 	45.1309 	6.6341 	4.2461 	6.0835 	6.7131 	68.5484 	10.3996 	56.7249 	0.2441 	19.9636 	12.5485 	9.7500 	27.6313 	25.0828 	30.6216 	40.6209 	38.4750 	34.5125 	13.5079 	32.3563 	22.3896 	24.4375 	63.8814 	24.3714 	71.6447 	34.8648 	16.7507 	62.7917 	28.2296 	13.2924 	10.5181 	23.3047 	18.7743 	16.5108 
GN02	0.2125 	0.2938 	0.0688 	0.0563 	0.2377 	0.0375 	0.0000 	0.0250 	0.4940 	0.0000 	0.0188 	0.3439 	0.1063 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0377 	0.0000 	0.0440 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0375 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
Nitrospirae	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0629 	0.0000 	0.0563 	0.0000 	0.0000 	0.0000 	0.0627 	0.0000 	0.0000 	0.1945 	0.0000 
OD1	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.1375 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
OP11	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0563 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
Planctomycetes	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.4813 	0.0000 	0.0000 	0.0000 	0.3580 	0.0063 	0.5086 	0.5262 	0.3127 	0.0125 	0.7222 	0.2063 	0.3079 	0.9585 	1.6149 	0.0000 	1.4693 	1.7125 	0.6000 	2.1319 	0.5503 	0.4131 	2.6063 	0.7375 	1.1001 	3.3750 	3.7514 	0.0000 	0.0815 	0.1383 	0.0439 	0.0188 	0.0567 	0.2656 	0.2826 	0.2571 	0.0000 	0.1882 	0.3450 	0.2573 
SAR406	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.4543 	1.2007 	0.0000 	0.7449 	2.0537 	0.0063 	1.3502 	2.3324 	0.3129 	1.5996 	2.8792 	1.1861 
